id,pax2003,pax2004,pax2005,pax2006,pax2007,pax2008,pax2009,pax2010,pax2011,pax2012,pax2013,pax2014
AT,15798652,18296612,19684822,20824533,22926104,23899584,21817267,23532455,25137612,25965977,25749724,: 
BE,15095879,17468503,17813943,19154636,20805314,21981645,21314463,22690502,25098923,25913625,26387222,28775060
BG,: ,: ,: ,: ,6071210,6417873,5838685,6168346,6651562,6819024,7078294,7518998
CH,25676109,26567796,28876072,31829340,34537546,36595724,35928169,37615864,41439630,43235843,44216798,46127426
CY,6077399,6421198,6782277,6713880,7004127,7218073,6729554,6947632,7190265,7328248,7011437,7328546
CZ,7761268,9950314,11265764,12171235,13098141,13429149,12367467,12242386,12650532,11742352,11891812,: 
DE,121135594,135850284,145977422,154145981,163843996,165758846,158148829,166130833,175316076,178591103,180781589,: 
DK,: ,21005796,22172778,22965651,24041619,24629204,22272961,24330644,25804863,26528356,27453282,29003996
EA,: ,450568758,489038284,510822853,547987073,551909511,523390838,546835220,579358303,582495724,429537523,: 
EE,: ,990776,1393105,1533132,1722505,1804430,1341294,1381062,1907569,2202427,1958565,: 
GR,28165427,29509262,30798527,32762340,34785958,34404278,32882441,32131780,33291435,31575703,33621019,39117833
ES,120238878,129771378,143679871,150599286,163523010,161400952,148318298,153387014,165153230,159771261,157731973,165206731
EU27,: ,: ,: ,: ,792700448,797571170,751138170,776851750,821265790,826463402,840556194,: 
EU28,: ,: ,: ,: ,: ,799024981,752512652,778324669,822830045,828160763,842219926,: 
FI,10516364,11785244,12348113,13443365,14464575,14850682,13828812,14220636,16374398,16458815,16565391,17171931
FR,96292351,103039212,107955384,113182776,120034361,122723531,117561564,122887263,131425313,135005802,138085382,142306569
HR,: ,: ,: ,: ,: ,4504278,4334987,4677030,4989047,5422530,5722025,6140608
HU,5010397,6380372,7918083,8245920,8580261,8429082,8081067,8174510,8884837,8429843,8441319,: 
IE,: ,20851353,24254298,27558133,29840020,30018287,26268887,23093749,23362889,23594089,24603640,: 
IS,1561578,1888607,2111100,2278036,2462113,2240998,1837165,2036356,2462894,2740691,3199266,3853614
IT,73916877,81213315,87906423,95914356,106294205,105216903,101823760,109064953,116226667,116029388,115271926,: 
LT,721789,994161,1434241,1799195,2195959,2552074,1867191,2282834,2691991,3166628,3482358,3798110
LU,: ,1509069,1538152,1597404,1634465,1713003,1535261,1613600,1836761,1893988,2168748,2433939
LV,: ,1056041,1872040,2488065,3155771,3687329,4062704,4655898,5098360,4754530,4782257,4802282
MT,2647642,2790121,2757240,2699870,2971368,3109899,2918676,3293548,3506723,3650345,4031848,4290032
NL,41168197,44493696,46433037,48582547,50500592,50418517,46479064,48618670,53895216,55680131,58077221,: 
NO,18825090,19621419,18578950,24052506,26385631,27717155,27673751,29516916,32401674,34590312,36684065,37601630
PL,: ,6091886,7080325,13737539,17120015,18727132,17046474,18382517,20634903,21791428,23274169,: 
PT,17739078,18422969,20272160,22026797,24324372,25180382,24104119,25732352,27578334,28186254,29694146,32558076
RO,2717516,3192620,3493783,4900134,6908599,8031267,7984057,8848949,9687456,9674226,10016933,: 
SE,: ,19957013,20997169,25744721,26967253,27817350,25218784,26646764,29732247,30350845,31443225,: 
SI,: ,1046162,1217167,1327333,1504446,1648977,1423391,1382341,1358792,1167877,1265766,1307128
SK,625861,1080945,1519452,2124447,2232411,2596334,1948361,1881844,1808187,1563197,1557149,1671290
GB,177901825,192279803,204013386,211228518,217288456,213888122,198531887,192884537,201535227,203066646,210468756,220021502
